Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LANDED HOUSING DEVELOPMENT,"16,888,000","8,493.87","1,988",Sep-25,JALAN NAGA SARI,Resale,Land,789.1,"21,402",-,Detached House,1,Freehold,11,Core Central Region,-
HENRY PARK,"5,530,000","2,074.22","2,666",Sep-25,GROVE AVENUE,Resale,Land,192.7,"28,697",-,Terrace House,1,Freehold,10,Core Central Region,-
OEI TIONG HAM PARK,"23,880,000","8,989.02","2,657",Sep-25,JALAN PELANGI,Resale,Land,835.1,"28,595",-,Detached House,1,Freehold,10,Core Central Region,-
GOLDHILL GARDENS,"9,250,000","3,926.71","2,356",Sep-25,GOLDHILL VIEW,Resale,Land,364.8,"25,356",-,Terrace House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"15,200,000","7,812.51","1,946",Sep-25,OCEAN DRIVE,Resale,Land,725.8,"20,942",-,Detached House,1,99 yrs lease commencing from 2004,04,Core Central Region,-
LOYANG VILLAS,"2,388,000","1,614.6","1,479",Sep-25,LOYANG RISE,Resale,Land,150,"15,920",-,Terrace House,1,99 yrs lease commencing from 1993,17,Outside Central Region,-
SANNY PARK,"18,500,000","9,024.54","2,050",Sep-25,MERRYN ROAD,Resale,Land,838.4,"22,066",-,Detached House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,700,000","3,516.6","1,621",Sep-25,LENGKONG LIMA,Resale,Land,326.7,"17,447",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
SEMBAWANG SPRINGS ESTATE,"5,200,000","3,358.37","1,548",Sep-25,JALAN HIKAYAT,Resale,Land,312,"16,667",-,Semi-Detached House,1,Freehold,27,Outside Central Region,-
LUXUS HILLS,"4,800,000","2,179.71","2,202",Sep-25,SELETAR GREEN WALK,Resale,Land,202.5,"23,704",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
ORCHID VILLAGE,"10,388,000","3,946.08","2,632",Sep-25,VANDA ROAD,Resale,Land,366.6,"28,336",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
BLAIR PLAIN CONSERVATION AREA,"5,900,000","2,037.63","2,896",Sep-25,BLAIR ROAD,Resale,Land,189.3,"31,167",-,Terrace House,1,Freehold,02,Rest of Central Region,-
CENTURY WOODS,"3,000,000","2,239.99","1,339",Sep-25,WOODGROVE VIEW,Resale,Land,208.1,"14,416",-,Terrace House,1,99 yrs lease commencing from 1996,25,Outside Central Region,-
TAI HWAN PARK,"4,480,000","1,680.26","2,666",Sep-25,TAI HWAN CRESCENT,Resale,Land,156.1,"28,700",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"13,350,000","3,425.1","3,898",Sep-25,DUCHESS AVENUE,Resale,Land,318.2,"41,955",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
OEI TIONG HAM PARK,"23,588,000","9,279.64","2,542",Sep-25,JALAN HARUM,Resale,Land,862.1,"27,361",-,Detached House,1,Freehold,10,Core Central Region,-
WELLINGTON PARK,"4,400,000","1,777.14","2,476",Sep-25,ELLINGTON SQUARE,Resale,Land,165.1,"26,651",-,Terrace House,1,Freehold,20,Outside Central Region,-
EDEN PARK,"7,450,000","3,179.69","2,343",Sep-25,REDWOOD AVENUE,Resale,Land,295.4,"25,220",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"11,500,000","3,722.19","3,090",Sep-25,HARLYN ROAD,Resale,Land,345.8,"33,256",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
WESTWOOD PARK,"3,100,000","3,156",982,Sep-25,WESTWOOD CRESCENT,Resale,Land,293.2,"10,573",-,Semi-Detached House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
SHAMROCK PARK,"8,200,000","3,195.83","2,566",Sep-25,NAMLY GARDEN,Resale,Land,296.9,"27,619",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
MACPHERSON GARDEN ESTATE,"4,640,000","2,289.5","2,027",Sep-25,JALAN MULIA,Resale,Land,212.7,"21,815",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,500,000","3,376.67","1,925",Sep-25,JALAN WAKAFF,Resale,Land,313.7,"20,720",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
THE SPRINGSIDE,"4,280,000","1,847.1","2,317",Sep-25,SPRINGSIDE DRIVE,Resale,Land,171.6,"24,942",-,Terrace House,1,Freehold,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,060,000","2,665.17","2,274",Sep-25,EAST COAST ROAD,Resale,Land,247.6,"24,475",-,Terrace House,1,Freehold,15,Rest of Central Region,-
EAST COAST PARK,"5,500,000","2,911.66","1,889",Sep-25,SIGLAP ROAD,Resale,Land,270.5,"20,333",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
CENTURY WOODS,"2,850,000","1,614.6","1,765",Sep-25,WOODGROVE VIEW,Resale,Land,150,"19,000",-,Terrace House,1,99 yrs lease commencing from 1996,25,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,550,000","2,390.68","1,903",Sep-25,LORONG 110 CHANGI,Resale,Land,222.1,"20,486",-,Terrace House,1,Freehold,15,Outside Central Region,-
HILLVIEW ESTATE,"5,500,000","2,879.37","1,910",Sep-25,JALAN ZAMRUD,Resale,Land,267.5,"20,561",-,Terrace House,1,Freehold,23,Outside Central Region,-
