Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE LAKESHORE,"1,220,000",861.12,"1,417",Oct-24,JURONG WEST STREET 41,Resale,Strata,80.0,"15,250",-,Condominium,1,99 yrs lease commencing from 2002,22,Outside Central Region,11 to 15
PARKVIEW APARTMENTS,"1,062,168","1,119.46",949,Oct-24,BUKIT BATOK STREET 25,Resale,Strata,104.0,"10,213",-,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,01 to 05
THE DAIRY FARM,"2,168,000","1,280.92","1,693",Oct-24,DAIRY FARM ROAD,Resale,Strata,119.0,"18,218",-,Condominium,1,Freehold,23,Outside Central Region,06 to 10
THE HILLSIDE,"2,050,000","1,302.44","1,574",Oct-24,UPPER BUKIT TIMAH ROAD,Resale,Strata,121.0,"16,942",-,Condominium,1,Freehold,21,Outside Central Region,01 to 05
PARC OASIS,"1,260,000","1,076.4","1,171",Oct-24,JURONG EAST AVENUE 1,Resale,Strata,100.0,"12,600",-,Condominium,1,99 yrs lease commencing from 1991,22,Outside Central Region,06 to 10
PARC ROSEWOOD,"615,000",430.56,"1,428",Oct-24,ROSEWOOD DRIVE,Resale,Strata,40.0,"15,375",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
HILLS TWOONE,"930,000",570.49,"1,630",Oct-24,HILLVIEW TERRACE,Resale,Strata,53.0,"17,547",-,Apartment,1,Freehold,23,Outside Central Region,01 to 05
REGENT HEIGHTS,"1,250,000","1,162.51","1,075",Oct-24,BUKIT BATOK EAST AVENUE 5,Resale,Strata,108.0,"11,574",-,Condominium,1,99 yrs lease commencing from 1995,23,Outside Central Region,06 to 10
GARDENVISTA,"1,750,000",936.47,"1,869",Oct-24,DUNEARN ROAD,Resale,Strata,87.0,"20,115",-,Condominium,1,99 yrs lease commencing from 1999,21,Rest of Central Region,06 to 10
KAP RESIDENCES,"1,430,000",699.66,"2,044",Oct-24,KING ALBERT PARK,Resale,Strata,65.0,"22,000",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
ECO SANCTUARY,"1,670,000",979.52,"1,705",Oct-24,CHESTNUT AVENUE,Resale,Strata,91.0,"18,352",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,21 to 25
SOUTHAVEN II,"2,550,000","1,506.96","1,692",Oct-24,HINDHEDE WALK,Resale,Strata,140.0,"18,214",-,Condominium,1,999 yrs lease commencing from 1877,21,Outside Central Region,01 to 05
LE QUEST,"1,428,000",882.65,"1,618",Oct-24,BUKIT BATOK STREET 41,Resale,Strata,82.0,"17,415",-,Apartment,1,99 yrs lease commencing from 2016,23,Outside Central Region,06 to 10
MAPLE WOODS,"2,725,000","1,205.57","2,260",Oct-24,BUKIT TIMAH ROAD,Resale,Strata,112.0,"24,330",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
GUILIN VIEW,"1,660,000","1,496.2","1,109",Oct-24,BUKIT BATOK STREET 52,Resale,Strata,139.0,"11,942",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,01 to 05
REGENT HEIGHTS,"1,058,000","1,022.58","1,035",Oct-24,BUKIT BATOK EAST AVENUE 5,Resale,Strata,95.0,"11,137",-,Condominium,1,99 yrs lease commencing from 1995,23,Outside Central Region,01 to 05
KINGSFORD . HILLVIEW PEAK,"807,000",527.44,"1,530",Oct-24,HILLVIEW RISE,Resale,Strata,49.0,"16,469",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,16 to 20
SIGNATURE PARK,"2,288,000","1,356.26","1,687",Oct-24,TOH TUCK ROAD,Resale,Strata,126.0,"18,159",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
MIDWOOD,"1,505,000",775.01,"1,942",Oct-24,HILLVIEW RISE,Resale,Strata,72.0,"20,903",-,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,21 to 25
NICON GARDENS,"1,848,800","2,012.87",918,Oct-24,CHOA CHU KANG ROAD,Resale,Strata,187.0,"9,887",-,Condominium,1,99 yrs lease commencing from 1981,23,Outside Central Region,-
LE QUEST,"988,000",613.55,"1,610",Oct-24,BUKIT BATOK STREET 41,Resale,Strata,57.0,"17,333",-,Apartment,1,99 yrs lease commencing from 2016,23,Outside Central Region,01 to 05
ROSEWOOD,"1,620,000","1,474.67","1,099",Oct-24,ROSEWOOD DRIVE,Resale,Strata,137.0,"11,825",-,Condominium,1,99 yrs lease commencing from 2000,25,Outside Central Region,01 to 05
DAINTREE RESIDENCE,"1,520,000",785.77,"1,934",Oct-24,TOH TUCK ROAD,Resale,Strata,73.0,"20,822",-,Condominium,1,99 yrs lease commencing from 2017,21,Rest of Central Region,01 to 05
MAYSPRINGS,"1,050,000",807.3,"1,301",Oct-24,PETIR ROAD,Resale,Strata,75.0,"14,000",-,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,16 to 20
CASHEW HEIGHTS CONDOMINIUM,"2,480,000","1,646.89","1,506",Oct-24,CASHEW ROAD,Resale,Strata,153.0,"16,209",-,Condominium,1,999 yrs lease commencing from 1882,23,Outside Central Region,06 to 10
FORESQUE RESIDENCES,"2,000,000","1,270.15","1,575",Oct-24,PETIR ROAD,Resale,Strata,118.0,"16,949",-,Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,06 to 10
THE TENNERY,"1,150,000",871.88,"1,319",Oct-24,WOODLANDS ROAD,Resale,Strata,81.0,"14,198",-,Apartment,1,99 yrs lease commencing from 2010,23,Outside Central Region,11 to 15
THE HILLIER,"943,000",624.31,"1,510",Oct-24,HILLVIEW RISE,Resale,Strata,58.0,"16,259",-,Apartment,1,99 yrs lease commencing from 2011,23,Outside Central Region,16 to 20
REGENT HEIGHTS,"1,260,000","1,162.51","1,084",Oct-24,BUKIT BATOK EAST AVENUE 5,Resale,Strata,108.0,"11,667",-,Condominium,1,99 yrs lease commencing from 1995,23,Outside Central Region,11 to 15
FREESIA WOODS,"2,400,000","1,377.79","1,742",Oct-24,SUNSET WAY,Resale,Strata,128.0,"18,750",-,Condominium,1,Freehold,21,Outside Central Region,01 to 05
TREE HOUSE,"1,990,000","1,248.62","1,594",Oct-24,CHESTNUT AVENUE,Resale,Strata,116.0,"17,155",-,Condominium,1,99 yrs lease commencing from 2009,23,Outside Central Region,01 to 05
PARC ROSEWOOD,"688,888",430.56,"1,600",Oct-24,ROSEWOOD DRIVE,Resale,Strata,40.0,"17,222",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
HILLBROOKS,"1,730,000","1,097.93","1,576",Oct-24,HILLVIEW AVENUE,Resale,Strata,102.0,"16,961",-,Condominium,1,Freehold,23,Outside Central Region,06 to 10
PARC ROSEWOOD,"1,610,000","1,711.48",941,Oct-24,ROSEWOOD DRIVE,Resale,Strata,159.0,"10,126",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
THE LAKESHORE,"1,440,000","1,044.11","1,379",Oct-24,JURONG WEST STREET 41,Resale,Strata,97.0,"14,845",-,Condominium,1,99 yrs lease commencing from 2002,22,Outside Central Region,06 to 10
HAZEL PARK CONDOMINIUM,"1,570,000",979.52,"1,603",Oct-24,HAZEL PARK TERRACE,Resale,Strata,91.0,"17,253",-,Condominium,1,999 yrs lease commencing from 1882,23,Outside Central Region,01 to 05
MIDWOOD,"800,000",484.38,"1,652",Oct-24,HILLVIEW RISE,Resale,Strata,45.0,"17,778",-,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,11 to 15
PARK NATURA,"2,860,000","1,840.64","1,554",Oct-24,BUKIT BATOK EAST AVENUE 6,Resale,Strata,171.0,"16,725",-,Condominium,1,Freehold,23,Rest of Central Region,01 to 05
THE HILLIER,"925,000",592.02,"1,562",Oct-24,HILLVIEW RISE,Resale,Strata,55.0,"16,818",-,Apartment,1,99 yrs lease commencing from 2011,23,Outside Central Region,11 to 15
HILLVIEW REGENCY,"995,000",904.18,"1,100",Oct-24,BUKIT BATOK EAST AVENUE 2,Resale,Strata,84.0,"11,845",-,Condominium,1,99 yrs lease commencing from 2000,23,Outside Central Region,06 to 10
NORTHVALE,"1,400,000","1,270.15","1,102",Oct-24,CHOA CHU KANG LOOP,Resale,Strata,118.0,"11,864",-,Apartment,1,99 yrs lease commencing from 1995,23,Outside Central Region,01 to 05
SOUTHAVEN I,"1,841,800","1,334.74","1,380",Oct-24,HINDHEDE WALK,Resale,Strata,124.0,"14,853",-,Condominium,1,99 yrs lease commencing from 1994,21,Outside Central Region,01 to 05
PINE GROVE,"1,425,000","1,323.97","1,076",Oct-24,PINE GROVE,Resale,Strata,123.0,"11,585",-,Condominium,1,99 yrs lease commencing from 1984,21,Rest of Central Region,06 to 10
